9.0628000698524491e-01,3.3031979528531430e-01,6.1907660150550634e-03,9.4485579665894590e-02,9.9847641646286700e-01,2.1609631218653594e-01,8.0888814657713817e-02,8.4841067881648136e-01,1.7460798664467286e-01
3.9949753597083226e-01,1.8939987071803152e-01,5.6441639782477859e-01,4.3467950091659763e-01,3.5051103955937241e-01,4.1390088409323456e-01,1.2031762214419306e-01,3.3813775815902719e-01,6.6153270235360739e-01
2.0066401789677854e-01,8.0230672241045975e-01,5.7213447586564059e-01,2.1448105543964289e-02,9.5364371032200995e-02,4.0104408204882186e-01,6.7855438772126220e-01,3.3415250510244698e-01,2.8894381243230721e-01
7.9689704218387436e-01,2.9428529517080942e-01,6.6591872582800060e-01,1.2521894319360846e-01,7.9681047929778548e-01,3.7600050702402782e-01,9.1760274653061402e-01,7.1394136828787180e-01,6.4085183892199293e-01
4.4194225001571513e-01,8.2171480138404540e-01,9.6477579927304857e-01,9.2417580029172275e-01,6.6687639014761624e-01,1.2139146339068248e-01,1.0904105640837258e-01,2.6505212434813685e-01,4.9051773564038348e-01
5.5435777719613499e-01,5.9483381197611540e-01,4.6280727243135228e-02,4.5769640331204772e-02,2.2893121933406246e-01,8.8469682056485380e-02,6.8006814152268680e-01,4.5051254737796065e-01,1.8887806148829178e-01
4.9341910639001790e-01,3.9252423860957758e-01,6.0773666410825866e-01,3.3393626655817488e-01,9.7803031740968238e-01,9.6677472187286806e-01,7.0603741441015844e-01,7.6697277417503607e-01,4.0862568743105404e-01
8.7338530182100427e-01,3.7453177111393499e-01,5.3422367195406684e-01,5.8401731553657943e-01,7.5802828230766761e-01,2.7705669050472931e-01,7.6717464645406452e-01,9.4508057438427040e-01,4.4745697050717131e-01
1.5576326712023375e-01,9.3418043921333227e-01,1.5847268409674964e-01,4.3164004385238253e-01,6.1012597100292754e-01,8.7136368097583738e-01,1.2089329115757688e-01,5.7460346501495430e-01,9.5731231120486970e-01
9.0050239277948274e-01,5.9891017099849675e-02,3.9383500665046350e-01,5.6704541813284182e-01,7.4168034362208513e-01,9.6713061296745095e-01,5.0298230067494676e-01,6.0497423754820678e-01,4.5164274162188922e-01
7.8543100573783309e-01,2.1525920125844392e-01,1.7367304439631540e-01,5.8119599986877324e-01,1.2153603632408923e-01,5.4102143803224678e-01,7.6933226011566913e-01,5.0113946740541826e-01,8.2042344537763012e-01
8.0506861542193930e-01,8.7428919142153505e-01,8.0855073295505331e-01,7.9198094018198650e-01,5.1746880333481882e-01,8.3383730490665553e-01,3.0039454566436524e-01,6.6882876523451240e-01,2.7862013979912748e-01
